"Statistic Label","CensusYear","Principal Economic Status","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Not stated","Number","398"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Economic status - other","Number","3212"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Total education ceased and not ceased","Number","390677"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","No formal education","Number","6454"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Primary","Number","46650"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Lower secondary","Number","87500"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Upper secondary","Number","78573"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Technical/vocational","Number","37074"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Advanced certificate/completed apprenticeship","Number","24716"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Higher certificate","Number","11897"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","14744"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Honours bachelor degree/professional qualification or both","Number","14672"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Postgraduate diploma or degree","Number","9932"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Doctorate (Ph.D.)","Number","650"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Not stated","Number","16823"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Both sexes","Economic status - other","Number","40992"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Total education ceased and not ceased","Number","254815"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","No formal education","Number","4470"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Primary","Number","33059"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Lower secondary","Number","64047"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Upper secondary","Number","49054"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Technical/vocational","Number","21778"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Advanced certificate/completed apprenticeship","Number","19600"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Higher certificate","Number","6583"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Ordinary bachelor degree/professional qualification or both","Number","8084"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Honours bachelor degree/professional qualification or both","Number","7871"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Postgraduate diploma or degree","Number","4761"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Doctorate (Ph.D.)","Number","344"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Not stated","Number","11196"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Male","Economic status - other","Number","23968"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Total education ceased and not ceased","Number","135862"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","No formal education","Number","1984"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Primary","Number","13591"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Lower secondary","Number","23453"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Upper secondary","Number","29519"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Technical/vocational","Number","15296"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Advanced certificate/completed apprenticeship","Number","5116"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Higher certificate","Number","5314"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Ordinary bachelor degree/professional qualification or both","Number","6660"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Honours bachelor degree/professional qualification or both","Number","6801"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Postgraduate diploma or degree","Number","5171"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Doctorate (Ph.D.)","Number","306"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Not stated","Number","5627"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unemployed having lost or given up previous job","Female","Economic status - other","Number","17024"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Total education ceased and not ceased","Number","408838"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","No formal education","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Primary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Not stated","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Economic status - total at school, university, etc.","Number","408838"
"Population Aged 15 Years and Over","2011","Student or pupil","Both sexes","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Total education ceased and not ceased","Number","201203"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","No formal education","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Primary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Not stated","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Economic status - total at school, university, etc.","Number","201203"
"Population Aged 15 Years and Over","2011","Student or pupil","Male","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Total education ceased and not ceased","Number","207635"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","No formal education","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Primary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Not stated","Number","0"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Economic status - total at school, university, etc.","Number","207635"
"Population Aged 15 Years and Over","2011","Student or pupil","Female","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Total education ceased and not ceased","Number","339918"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","No formal education","Number","5099"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Primary","Number","64450"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Lower secondary","Number","74469"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Upper secondary","Number","76681"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Technical/vocational","Number","27528"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Advanced certificate/completed apprenticeship","Number","9666"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Higher certificate","Number","10232"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","14724"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Honours bachelor degree/professional qualification or both","Number","11541"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Postgraduate diploma or degree","Number","8652"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Doctorate (Ph.D.)","Number","547"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Not stated","Number","20026"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Looking after home/family","Both sexes","Economic status - other","Number","16303"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Total education ceased and not ceased","Number","18040"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","No formal education","Number","427"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Primary","Number","3430"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Lower secondary","Number","4053"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Upper secondary","Number","2829"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Technical/vocational","Number","1468"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Advanced certificate/completed apprenticeship","Number","1035"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Higher certificate","Number","552"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Ordinary bachelor degree/professional qualification or both","Number","757"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Honours bachelor degree/professional qualification or both","Number","632"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Postgraduate diploma or degree","Number","466"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Doctorate (Ph.D.)","Number","58"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Not stated","Number","823"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Looking after home/family","Male","Economic status - other","Number","1510"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Total education ceased and not ceased","Number","321878"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","No formal education","Number","4672"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Primary","Number","61020"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Lower secondary","Number","70416"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Upper secondary","Number","73852"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Technical/vocational","Number","26060"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Advanced certificate/completed apprenticeship","Number","8631"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Higher certificate","Number","9680"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Ordinary bachelor degree/professional qualification or both","Number","13967"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Honours bachelor degree/professional qualification or both","Number","10909"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Postgraduate diploma or degree","Number","8186"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Doctorate (Ph.D.)","Number","489"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Not stated","Number","19203"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Looking after home/family","Female","Economic status - other","Number","14793"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Total education ceased and not ceased","Number","457394"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","No formal education","Number","11862"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Primary","Number","161176"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Lower secondary","Number","69647"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Upper secondary","Number","66013"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Technical/vocational","Number","25282"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Advanced certificate/completed apprenticeship","Number","10539"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Higher certificate","Number","11349"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","26320"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Honours bachelor degree/professional qualification or both","Number","15388"
"Population Aged 15 Years and Over","2011","Retired","Both sexes","Postgraduate diploma or degree","Number","15495"
