"Statistic Label","CensusYear","Age Group","Principal Economic Status","Sex","Detailed Marital Status","UNIT","VALUE"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Female","Separated","Number","65361"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Female","Divorced","Number","49685"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Female","Widowed","Number","147977"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Both sexes","All marital status","Number","1807360"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Both sexes","Single","Number","696893"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Both sexes","Married (first marriage)","Number","951490"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Both sexes","Re-married","Number","27799"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Both sexes","Separated","Number","57577"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Both sexes","Divorced","Number","47744"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Both sexes","Widowed","Number","25857"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Male","All marital status","Number","954541"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Male","Single","Number","352858"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Male","Married (first marriage)","Number","531500"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Male","Re-married","Number","16758"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Male","Separated","Number","25383"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Male","Divorced","Number","19893"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Male","Widowed","Number","8149"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Female","All marital status","Number","852819"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Female","Single","Number","344035"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Female","Married (first marriage)","Number","419990"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Female","Re-married","Number","11041"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Female","Separated","Number","32194"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Female","Divorced","Number","27851"
"Population Aged 15 Years and Over","2011","All ages","Persons at work","Female","Widowed","Number","17708"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Both sexes","All marital status","Number","34166"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Both sexes","Single","Number","28278"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Both sexes","Married (first marriage)","Number","4664"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Both sexes","Re-married","Number","164"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Both sexes","Separated","Number","507"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Both sexes","Divorced","Number","418"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Both sexes","Widowed","Number","135"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Male","All marital status","Number","19512"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Male","Single","Number","16854"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Male","Married (first marriage)","Number","2183"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Male","Re-married","Number","69"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Male","Separated","Number","204"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Male","Divorced","Number","166"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Male","Widowed","Number","36"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Female","All marital status","Number","14654"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Female","Single","Number","11424"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Female","Married (first marriage)","Number","2481"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Female","Re-married","Number","95"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Female","Separated","Number","303"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Female","Divorced","Number","252"
"Population Aged 15 Years and Over","2011","All ages","Unemployed looking for first regular job","Female","Widowed","Number","99"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Both sexes","All marital status","Number","390677"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Both sexes","Single","Number","208894"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Both sexes","Married (first marriage)","Number","137080"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Both sexes","Re-married","Number","5638"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Both sexes","Separated","Number","19203"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Both sexes","Divorced","Number","14621"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Both sexes","Widowed","Number","5241"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Male","All marital status","Number","254815"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Male","Single","Number","141988"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Male","Married (first marriage)","Number","87635"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Male","Re-married","Number","3661"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Male","Separated","Number","10891"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Male","Divorced","Number","8495"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Male","Widowed","Number","2145"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Female","All marital status","Number","135862"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Female","Single","Number","66906"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Female","Married (first marriage)","Number","49445"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Female","Re-married","Number","1977"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Female","Separated","Number","8312"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Female","Divorced","Number","6126"
"Population Aged 15 Years and Over","2011","All ages","Unemployed having lost or given up previous job","Female","Widowed","Number","3096"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Both sexes","All marital status","Number","408838"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Both sexes","Single","Number","389618"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Both sexes","Married (first marriage)","Number","14943"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Both sexes","Re-married","Number","519"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Both sexes","Separated","Number","1892"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Both sexes","Divorced","Number","1413"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Both sexes","Widowed","Number","453"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Male","All marital status","Number","201203"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Male","Single","Number","193214"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Male","Married (first marriage)","Number","6660"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Male","Re-married","Number","224"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Male","Separated","Number","566"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Male","Divorced","Number","439"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Male","Widowed","Number","100"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Female","All marital status","Number","207635"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Female","Single","Number","196404"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Female","Married (first marriage)","Number","8283"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Female","Re-married","Number","295"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Female","Separated","Number","1326"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Female","Divorced","Number","974"
"Population Aged 15 Years and Over","2011","All ages","Student or pupil","Female","Widowed","Number","353"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Both sexes","All marital status","Number","339918"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Both sexes","Single","Number","46856"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Both sexes","Married (first marriage)","Number","236205"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Both sexes","Re-married","Number","5525"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Both sexes","Separated","Number","11274"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Both sexes","Divorced","Number","5761"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Both sexes","Widowed","Number","34297"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Male","All marital status","Number","18040"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Male","Single","Number","5221"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Male","Married (first marriage)","Number","10649"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Male","Re-married","Number","436"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Male","Separated","Number","640"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Male","Divorced","Number","451"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Male","Widowed","Number","643"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Female","All marital status","Number","321878"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Female","Single","Number","41635"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Female","Married (first marriage)","Number","225556"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Female","Re-married","Number","5089"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Female","Separated","Number","10634"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Female","Divorced","Number","5310"
"Population Aged 15 Years and Over","2011","All ages","Looking after home/family","Female","Widowed","Number","33654"
"Population Aged 15 Years and Over","2011","All ages","Retired","Both sexes","All marital status","Number","457394"
"Population Aged 15 Years and Over","2011","All ages","Retired","Both sexes","Single","Number","69322"
"Population Aged 15 Years and Over","2011","All ages","Retired","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Retired","Both sexes","Married (first marriage)","Number","241970"
"Population Aged 15 Years and Over","2011","All ages","Retired","Both sexes","Re-married","Number","9805"
"Population Aged 15 Years and Over","2011","All ages","Retired","Both sexes","Separated","Number","13852"
"Population Aged 15 Years and Over","2011","All ages","Retired","Both sexes","Divorced","Number","9574"
"Population Aged 15 Years and Over","2011","All ages","Retired","Both sexes","Widowed","Number","112871"
"Population Aged 15 Years and Over","2011","All ages","Retired","Male","All marital status","Number","237409"
"Population Aged 15 Years and Over","2011","All ages","Retired","Male","Single","Number","35106"
"Population Aged 15 Years and Over","2011","All ages","Retired","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Retired","Male","Married (first marriage)","Number","153479"
"Population Aged 15 Years and Over","2011","All ages","Retired","Male","Re-married","Number","6500"
"Population Aged 15 Years and Over","2011","All ages","Retired","Male","Separated","Number","7786"
"Population Aged 15 Years and Over","2011","All ages","Retired","Male","Divorced","Number","4827"
"Population Aged 15 Years and Over","2011","All ages","Retired","Male","Widowed","Number","29711"
"Population Aged 15 Years and Over","2011","All ages","Retired","Female","All marital status","Number","219985"
"Population Aged 15 Years and Over","2011","All ages","Retired","Female","Single","Number","34216"
"Population Aged 15 Years and Over","2011","All ages","Retired","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Retired","Female","Married (first marriage)","Number","88491"
"Population Aged 15 Years and Over","2011","All ages","Retired","Female","Re-married","Number","3305"
"Population Aged 15 Years and Over","2011","All ages","Retired","Female","Separated","Number","6066"
"Population Aged 15 Years and Over","2011","All ages","Retired","Female","Divorced","Number","4747"
"Population Aged 15 Years and Over","2011","All ages","Retired","Female","Widowed","Number","83160"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Both sexes","All marital status","Number","156993"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Both sexes","Single","Number","58349"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Both sexes","Married (first marriage)","Number","65243"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Both sexes","Re-married","Number","3077"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Both sexes","Separated","Number","11436"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Both sexes","Divorced","Number","7884"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Both sexes","Widowed","Number","11004"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Male","All marital status","Number","79502"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Male","Single","Number","35044"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Male","Married (first marriage)","Number","31850"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Male","Re-married","Number","1605"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Male","Separated","Number","5178"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Male","Divorced","Number","3656"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Male","Widowed","Number","2169"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Female","All marital status","Number","77491"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Female","Single","Number","23305"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Female","Married (first marriage)","Number","33393"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Female","Re-married","Number","1472"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Female","Separated","Number","6258"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Female","Divorced","Number","4228"
"Population Aged 15 Years and Over","2011","All ages","Unable to work due to permanent sickness or disability","Female","Widowed","Number","8835"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Both sexes","All marital status","Number","13316"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Both sexes","Single","Number","6825"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Both sexes","Married (first marriage)","Number","4311"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Both sexes","Re-married","Number","171"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Both sexes","Separated","Number","453"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Both sexes","Divorced","Number","355"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Both sexes","Widowed","Number","1201"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Male","All marital status","Number","6488"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Male","Single","Number","4138"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Male","Married (first marriage)","Number","1808"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Male","Re-married","Number","70"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Male","Separated","Number","185"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Male","Divorced","Number","158"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Male","Widowed","Number","129"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Female","All marital status","Number","6828"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Female","Single","Number","2687"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Female","Married (first marriage)","Number","2503"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Female","Re-married","Number","101"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Female","Separated","Number","268"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Female","Divorced","Number","197"
"Population Aged 15 Years and Over","2011","All ages","Others not in labour force","Female","Widowed","Number","1072"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Both sexes","All marital status","Number","580250"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Both sexes","Single","Number","569075"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Both sexes","Married (first marriage)","Number","10141"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Both sexes","Re-married","Number","57"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Both sexes","Separated","Number","572"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Both sexes","Divorced","Number","179"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Both sexes","Widowed","Number","226"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Male","All marital status","Number","290898"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Male","Single","Number","287273"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Male","Married (first marriage)","Number","3231"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Male","Re-married","Number","22"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Male","Separated","Number","218"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Male","Divorced","Number","53"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Male","Widowed","Number","101"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Female","All marital status","Number","289352"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Female","Single","Number","281802"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Female","Married (first marriage)","Number","6910"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Female","Re-married","Number","35"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Female","Separated","Number","354"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Female","Divorced","Number","126"
"Population Aged 15 Years and Over","2011","15 - 24 years","All persons aged 15 years and over","Female","Widowed","Number","125"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Both sexes","All marital status","Number","130286"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Both sexes","Single","Number","125888"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Both sexes","Married (first marriage)","Number","4034"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Both sexes","Re-married","Number","21"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Both sexes","Separated","Number","174"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Both sexes","Divorced","Number","98"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Both sexes","Widowed","Number","71"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Male","All marital status","Number","62515"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Male","Single","Number","60992"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Male","Married (first marriage)","Number","1386"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Male","Re-married","Number","4"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Male","Separated","Number","70"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Male","Divorced","Number","26"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Male","Widowed","Number","37"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Female","All marital status","Number","67771"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Female","Single","Number","64896"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Female","Married (first marriage)","Number","2648"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Female","Re-married","Number","17"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Female","Separated","Number","104"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Female","Divorced","Number","72"
"Population Aged 15 Years and Over","2011","15 - 24 years","Persons at work","Female","Widowed","Number","34"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Both sexes","All marital status","Number","21557"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Both sexes","Single","Number","21067"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Both sexes","Married (first marriage)","Number","445"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Both sexes","Re-married","Number","6"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Both sexes","Separated","Number","26"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Both sexes","Divorced","Number","7"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Both sexes","Widowed","Number","6"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Male","All marital status","Number","12724"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Male","Single","Number","12551"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Male","Married (first marriage)","Number","158"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Male","Re-married","Number","3"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Male","Separated","Number","11"
"Population Aged 15 Years and Over","2011","15 - 24 years","Unemployed looking for first regular job","Male","Divorced","Number","0"
